Adam Bomb,Fruit juice,1-3 pint ,1
Adam Bomb,Salt,na,2
Acapulco,Mint,1,3
Adam Bomb,Ice,na,4
Ace,Egg White,1/2 Fresh,5
Avalon,Lemonade,na,6
Acapulco,Egg white,1,7
Adam Bomb,Fruit,na,8
Afternoon,Cream,na,9
Allegheny,Lemon peel,1 twist of ,10
A1,Grenadine,1/8 Shot,11
Ace,Milk,1/2 shot,12
Affair,Club soda,na,13
Apello,Maraschino cherry,1,14
Avalon,Lemon juice,1 1/2 part ,15
Acapulco,Sugar,1 tsp ,16
Affinity,Orange bitters,2 dashes ,17
Adam Bomb,Triple sec,1/2 part ,18
Afternoon,Coffee,4 cl hot ,19
Alexander,Nutmeg,na,20
Allegheny,Lemon juice,1 1/2 tsp ,21
A1,Lemon Juice,1/4 Shot,22
ABC,Cognac,3-Jan,23
Ace,Heavy cream,1/2 shot ,24
Adam,Grenadine,1 tsp ,25
AT&T,Tonic water,4 oz ,26
Affair,Cranberry juice,2 oz ,27
Apello,Apple juice,1 cl ,28
Avalon,Apple juice,6 parts ,29
Abilene,Orange juice,3 oz ,30
Almeria,Egg white,1,31
Acapulco,Lime juice,1 tblsp ,32
Affinity,Dry Vermouth,1 oz ,33
Applecar,Lemon juice,1 oz ,34
Aviation,maraschino liqueur,1.5 cl,35
Adam Bomb,Tequila,1 part ,36
Addington,Soda Water,"Top up with",37
After sex,Orange juice,,38
Afterglow,Pineapple juice,4 parts ,39
Afternoon,Frangelico,1 1/2,40
Alexander,Light cream,2 oz ,41
Algonquin,Pineapple juice,1 oz ,42
Allegheny,Blackberry brandy,1 1/2 tsp ,43
A1,Grand Marnier,1 Shot ,44
ABC,Baileys irish cream,3-Jan,45
Ace,Grenadine,1/2 shot ,46
ACID,Wild Turkey,1 oz ,47
Adam,Lemon juice,1 oz ,48
AT&T,Gin,1 oz ,49
AJ,Grapefruit juice,1 oz ,50
Affair,Orange juice,2 oz ,51
Apello,Grapefruit juice,3 cl ,52
Avalon,Pisang Ambon,1 part ,53
Abilene,Peach nectar,2 oz ,54
Addison,Vermouth,1 1/2 shot ,55
Almeria,Kahlua,1 oz ,56
Acapulco,Triple sec,1 1/2 tsp ,57
Affinity,Sweet Vermouth,1 oz ,58
Applecar,Triple sec,1 oz ,59
Aviation,lemon juice,1.5 cl,60
Adam Bomb,Vodka,1 part ,61
Addington,Dry Vermouth,1 shot ,62
After sex,Creme de Banane,1 cl ,63
Afterglow,Orange juice,4 parts ,64
Afternoon,Baileys irish cream,1 cl ,65
Alexander,Creme de Cacao,1/2 oz white ,66
Algonquin,Dry Vermouth,1 oz ,67
Allegheny,Bourbon,1 oz ,68
A1,Gin,1 3/4 shot ,69
ABC,Amaretto,3-Jan,70
Ace,Gin,2 shots ,71
ACID,151 proof rum,1 oz Bacardi ,72
Adam,Dark rum,2 oz ,73
AT&T,Absolut Vodka,1 oz ,74
AJ,Applejack,1 1/2 oz ,75
Affair,Strawberry schnapps,2 oz ,76
Apello,Orange juice,4 cl ,77
Avalon,Vodka,3 parts,78
Abilene,Dark rum,1 1/2 oz ,79
Addison,Gin,1 1/2 shot ,80
Almeria,Dark rum,2 oz ,81
Acapulco,Light rum,1 1/2 oz ,82
Affinity,Scotch,1 1/2 oz ,83
Applecar,Applejack,1 oz ,84
Aviation,Gin,4.5 cl,85
Adam Bomb,Rum,1 part ,86
Addington,Sweet Vermouth,2 shots ,87
After sex,Vodka,2 cl ,88
Afterglow,Grenadine,1 part ,89
Afternoon,Kahlua,1 cl ,90
Alexander,Gin,1/2 oz ,91
Algonquin,Blended whiskey,1 1/2 oz ,92
Allegheny,Dry Vermouth,1 oz ,93
